t,y
0.000000,1.953882
0.012272,1.933746
0.024544,1.922243
0.036816,1.899541
0.049088,1.887419
0.061360,1.872031
0.073633,1.847386
0.085905,1.836319
0.098177,1.816593
0.110449,1.796881
0.122721,1.779482
0.134993,1.762124
0.147265,1.735489
0.159538,1.728313
0.171810,1.703413
0.184082,1.683947
0.196354,1.665097
0.208626,1.649892
0.220898,1.624832
0.233170,1.607793
0.245442,1.588731
0.257715,1.564714
0.269987,1.547089
0.282259,1.530204
0.294531,1.507699
0.306803,1.493897
0.319075,1.477293
0.331347,1.453349
0.343619,1.434861
0.355892,1.419820
0.368164,1.398984
0.380436,1.380903
0.392708,1.361219
0.404980,1.345019
0.417252,1.327104
0.429524,1.309684
0.441796,1.291073
0.454069,1.269697
0.466341,1.254793
0.478613,1.238124
0.490885,1.215193
0.503157,1.197939
0.515429,1.179621
0.527701,1.159428
0.539973,1.144284
0.552246,1.122877
0.564518,1.107803
0.576790,1.089037
0.589062,1.072247
0.601334,1.052218
0.613606,1.035814
0.625878,1.017201
0.638150,0.998997
0.650422,0.982297
0.662695,0.965892
0.674967,0.948614
0.687239,0.928847
0.699511,0.913011
0.711783,0.895764
0.724055,0.878416
0.736327,0.858964
0.748600,0.843074
0.760872,0.826249
0.773144,0.806749
0.785416,0.791182
0.797688,0.773116
0.809960,0.755489
0.822232,0.737601
0.834504,0.721209
0.846777,0.703744
0.859049,0.686079
0.871321,0.668921
0.883593,0.651427
0.895865,0.634573
0.908137,0.618274
0.920409,0.601101
0.932681,0.584011
0.944954,0.568223
0.957226,0.551521
0.969498,0.534873
0.981770,0.517899
0.994042,0.500699
1.006314,0.485017
1.018586,0.468513
1.030858,0.451961
1.043131,0.435561
1.055403,0.419802
1.067675,0.404079
1.079947,0.387399
1.092219,0.371997
1.104491,0.356009
1.116763,0.339892
1.129035,0.324348
1.141308,0.308867
1.153580,0.293239
1.165852,0.278181
1.178124,0.263293
1.190396,0.247624
1.202668,0.233237
1.214940,0.218127
1.227212,0.203497
1.239485,0.188723
1.251757,0.174091
1.264029,0.159648
1.276301,0.145553
1.288573,0.131201
1.300845,0.117163
1.313117,0.102918
1.325389,0.088806
1.337662,0.075271
1.349934,0.061539
1.362206,0.048029
1.374478,0.034629
1.386750,0.020993
1.399022,0.008124
1.411294,-0.005682
1.423566,-0.018851
1.435839,-0.031977
1.448111,-0.044893
1.460383,-0.057998
1.472655,-0.071082
1.484927,-0.083897
1.497199,-0.097087
1.509471,-0.110312
1.521743,-0.122877
1.534016,-0.136011
1.546288,-0.148937
1.558560,-0.161828
1.570832,-0.174744
1.583104,-0.187484
1.595376,-0.200104
1.607648,-0.213019
1.619920,-0.225643
1.632193,-0.238289
1.644465,-0.250711
1.656737,-0.263198
1.669009,-0.275683
1.681281,-0.287869
1.693553,-0.300293
1.705825,-0.312594
1.718097,-0.324779
1.730369,-0.336916
1.742642,-0.348884
1.754914,-0.360856
1.767186,-0.372621
1.779458,-0.384372
1.791730,-0.395843
1.804002,-0.407688
1.816274,-0.419198
1.828546,-0.430619
1.840819,-0.441859
1.853091,-0.453066
1.865363,-0.464082
1.877635,-0.475064
1.889907,-0.485716
1.902179,-0.496559
1.914451,-0.507126
1.926723,-0.517664
1.938996,-0.527988
1.951268,-0.538284
1.963540,-0.548458
1.975812,-0.558524
1.988084,-0.568502
2.000356,-0.578263
2.012628,-0.587935
2.024900,-0.597500
